trace_file,trace_idx,ATC_0,ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC,Track2,C7,IO,apdu,EncryptedPIN,AIP,IAD
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,0,36,247,251,145,0,0,0,0,,5413330337554966D25122012916230185,008800000424F7FB9100  7781949F4B819023E4CEE3AB2D16E387B80F00B0CD8537588D83AF59E297C5EA618FB3F1DF1F8FBD67D157DD3CC02D0CD841690E8EC9A5823B5D389CBA33FEC12039883266CF68EDF8446E578C124433BD6B03CBF9E5B5F22118B1AC6D7CF4F98F59D900411188ED5E8BFFE7069E1DD0881AC579184DC5BBA4D1720E2E8ABF734B512AA47CFCEAEBD4CC2CB90145399BC66EBF5D788D62,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,1,40,252,188,186,0,0,0,0,,5413330337554966D25122012916230185,008800000428FCBCBA00  7781949F4B819034BB1B7FA9D1352123FE4E435C2B9676CD3582AF11052E03795F4E3181386F3BF9D035E443764E7BB51569A41ED1DADAB37C8D18B6F021D0891A237EE4F32800416C06C544E1428AE97AB1510DB4CF6EE91509C3C363D4117D673E35E8B7D3E090888E46A5C8C5B2A97CFB5F02C2C128DF56196A4ECAEAF2AD323A0AD13469A849637E319664C89B005BFECBD38D0164,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,2,196,22,117,193,0,0,0,0,,5413330337554966D25122012916230185,0088000004C41675C100  7781949F4B81906B5001B16403ED20BF656F0C99C82A98EF464FB6A5D98129B0DD71CC29FEAED797E123556D105101435E2FAF0BC985A3A6135082F310B003F376E20F720E51EE1972F5E3BB3942BCD83436C7C8B36DA970B21CFE01DB547BDA0A58DF18861518D8371547FE6FD976547A1F0C5D438D2A69E4E7E0A6DA28900F9CD1DEBC09F0D4A46EBAE7642A34C8AD9CD2BC04291AE7,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,3,13,192,237,61,0,0,0,0,,5413330337554966D25122012916230185,00880000040DC0ED3D00  7781949F4B8190A6C1A51ED55D4337A22184405E9509634A506DB697A7CC73840AED3A60AAD1DFED4A0FA8884190800AD10EED22C366C4A293B7C54AFD00A6163ADF600C7F6D4423978BBD65EACD9CC9E7C37DAD544E6D0ACBA39F44D33298FF2FA74AF39A53E6B8F97EA210DAA355221F07CC7F22E43C27D8B713F75F09D4F95ED475790412AC595B753D727323FBC600E6DB2C63E2BC,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,4,17,197,174,102,0,0,0,0,,5413330337554966D25122012916230185,008800000411C5AE6600  7781949F4B8190B7B54E5FAC7887D84EE95EEAC8831D8B0C60C61C1F2C74A617ADAACF2D534791AB7D8385AA2C24547E906899582149604C2DAF3A5FE67D0E92EEAB6433AFA664B7F4FBBAE4291D8B2F0017CFC66D9E74208DEC6A4B79A0F9DBC12B9A00B376588C6E9C7F29C28E6270665353BE2923BA5E1FC001E0E7881AC6EC338926859E429AD94593D8894F12A0A8B7D3DCB00AE9,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,5,223,41,124,44,0,0,0,0,,5413330337554966D25122012916230185,0088000004DF297C2C00  7781949F4B81901D344D064D0E534CF76610B93B2C8E74D9598DE25A0F7E79F77C1A97AC6AC3CF1C643E945F949EF5D5080FD1AF78C02B4B6B228DE37BC41D469D0C92CB098BAA28850C77E1C270F14E6A8F3E5A93D60A2E7760F893F4748A72259AFF699D0971B05A59789BDC232544E66CB15B83C16F2D582AB87BB8A248CAC3179ADFC2D0AE13D8B253217341FE5A6702183CCB15C4,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,6,130,27,39,90,0,0,0,0,,5413330337554966D25122012916230185,0088000004821B275A00  7781949F4B81904A4BB53ED51ECA494D3B8DA54AAB90424A9BDC8147C37CCF49E3BE9BDF59D2E9DA3BFE780BD0ED4F085FC91ED3502A0AADED6D8BF6C60BD8D5C228172748E49D119CD0CD24E9088DB443AF543646FCF8B5F270292187ABC4270DEF57AF6456DA9ABFC6CCC373D6B2AA258AD8DA49CD7E5179182C512EFDC2537F88F974D35A91691C8D664B9CB799199B486E0C3F4E7D,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,7,203,198,159,214,0,0,0,0,,5413330337554966D25122012916230185,0088000004CBC69FD600  7781949F4B81902241A45A69356660F3CDE7AB6380FE4656CCBFCDF6A5FBCDCE8B53C8E47B99554CF38B1DE499AEC6D5CE894589C6D756554CC089D80B29E90430D18FC4E6C1EF701ED0464600A98079805AE06D687EFA6404F9B2714BCA4DC1777F628A822918B0A58C0D25290BC3739EB305F3B9FF9C39D71CE51BB6AC70D4F326FE3036FA4826BD99243FC26BE1B1E0BBCAC8F6C905,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,8,206,202,97,255,0,0,0,0,,5413330337554966D25122012916230185,0088000004CECA61FF00  7781949F4B8190543727B33B1EB7920E6BE6068F3C767F9EA8B7DC69D321D3B9D4202974A1BC2D7A4B572E54B36F41D2ED40E4D7D808A928D868FB9379D094E7F922B3DB92240D931250A86AFF07095B19DB4BABABE1F0FDC8392B9EF961ECA09F3161D33862CD06385CFCE2E3159358ABDEA2F881077CFB331116CCC2D7AE83D505DFD4AC12196474726093D0C5EF6AA56B369EEAD4C4,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,9,16,189,115,164,0,0,0,0,,5413330337554966D25122012916230185,008800000410BD73A400  7781949F4B8190569CA59817FFD1D6E307F7F4346B9EE2DB8A42CF28D3FFAE2062C4977D375E0279E66ECEDAA9C0F4CA046941EE4A2E2A2ECDDB6E6FA6CD79BEF8260C8A9022497A283FF13EA429F7655C1688505FEABFE414F090876938C7C098CEA5BAB7B28AD2134790F399BF54CE97C5FEA09B1472C4F57C4C694B6EC4F0C41D6BF9F5CBDC0BCA0944865114E91ED358D51C6D2478,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,10,19,193,52,205,0,0,0,0,,5413330337554966D25122012916230185,008800000413C134CD00  7781949F4B8190795048676072A1DF1C0E1EC44F269AE22524EECD5C0A07DEC594C5CA91DDED7A41CAA5AC1AB255A25940D6749B93B9D5C7B7A902E8E3432708FDA91CA003F9EC065035949F9EED9493AAE0A39F441C6C694696961C4A53530C3130C19B68E06BDCDFE5C034A8D54AA99A36D88BF8553F43B6D42E6F7CA2FD7D2EE7EC3B3F678A58505680C80071806D012D87541A9E80,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,11,164,55,177,22,0,0,0,0,,5413330337554966D25122012916230185,0088000004A437B11600  7781949F4B819059804E5D25DB791DE4D1BC4C92CF276AD6AFBC6FC58DF34EEDCDB3789F5BCF54369A3FD195D023BD69AD05EC64ECA3B843D9BB44A412DB1BE5B9ED28BD25F7BBF9D971B12A3557223EDD3A97401E27240B8A5444944DCAD91024E21967D66D05DB002124394A0CA577AA9ECB9CB2343FEDB051878EB47F7C0B136E144770251D9FF8AA6781BE4652B7C81AE5EC5D63EE,,,,,
I:\freelance\SCA-Smartcard-Pipeline-3\Input1\Mastercard\traces_data_rsa_1000T_1.csv,12,34,58,161,137,0,0,0,0,,5413330337554966D25122012916230185,0088000004223AA18900  7781949F4B81906478E0DA7B9050F281B3570F3F316D1426F30B34EDD261960A4A9229E607E8F0982E69215CFFAC01E412D5906D555E8C361898F334671405FE2AF83925E413B0BC16D5DAF30583A5776072E8F2DB330202B9D213DC3712C8EDEA96D158F8BABF302E8D3744B08BDAE6CE7CE7A82704DDE699946DB267632D62EEA7C72129B998341F51A9B528BE8D2D4A0E2D8091434C,,,,,
